,scan,depth,temp,conductivity,density,salinity,time,turbidity,cdom,in_situ_chl,ox_sat,lat,lon,flag,transect_id,timestamp,hawkeye_chl,modisa_chl,s3a_chl,s3b_chl
count,74616.0,74616.0,74616.0,74614.0,74614.0,74614.0,74616.0,71834.0,74616.0,74616.0,74614.0,74616.0,74616.0,74616.0,74616.0,74616,74616.0,74616.0,74616.0,74616.0
mean,63162.29819341696,5.539904417283157,19.842848584753945,4.7751124886214384,1024.8212684201355,34.99194867987241,736619128.1196795,2.257695102597656,0.0,0.5666721437761337,7.417091881416355,34.17544339846682,-77.77285406749222,0.0,4.197035488367106,1993-05-05 16:25:28.119679360,0.4436346297296627,2.3300533569535222,2.7186571872220284,3.018027019133915
min,7931.0,0.207,19.548,4.748342,1024.6705,34.9221,736612220.0,0.0,0.0,0.0,7.36524,34.15692,-77.78998,0.0,1.0,1993-05-05 14:30:20,0.4006993174552917,2.017357349395752,2.203482627868652,2.606240272521973
25%,40895.75,3.523,19.7741,4.768006,1024.7981,34.9819,736616343.0,1.673,0.0,0.35706,7.41073,34.16958,-77.78056,0.0,3.0,1993-05-05 15:39:03,0.4322935342788696,2.026288509368896,2.490249633789062,2.752338647842407
50%,65686.5,5.5515,19.8112,4.772606,1024.8294,34.993,736619444.0,2.073,0.0,0.49897,7.42118,34.17584,-77.77302,0.0,4.0,1993-05-05 16:30:44,0.4411801993846893,2.156870365142822,2.788451433181763,3.045728921890259
75%,88428.25,7.672,19.8898,4.779901,1024.8506,35.004,736622288.0,2.481,0.0,0.72175,7.42647,34.18194,-77.7657,0.0,6.0,1993-05-05 17:18:08,0.4554556906223297,2.493263483047485,2.878289699554443,3.273672580718994
max,108648.0,10.154,20.2196,4.815651,1024.9357,35.0453,736624818.0,10.986,0.0,2.0233,7.45626,34.19,-77.75022,0.0,7.0,1993-05-05 18:00:18,0.5044987201690674,3.122447967529297,3.29041314125061,3.370973110198975
std,29010.510146857432,2.503758500999019,0.10348780561763452,0.010173032771120484,0.04213652899113425,0.01815184623479667,3628.7771439093617,0.9437680989555639,0.0,0.2670612996177768,0.013912694418369924,0.007899520470617672,0.009525501352392012,0.0,1.9371245981536798,,0.020513339720317318,0.3416787449606948,0.25607314294615,0.2590242193277528
